workerid,proliferate.condition,age,asses,comments,education,enjoyment,fairprice,gender,language,error
173,condition1,33,Yes,,3,2,1,Female,English ,
172,condition1,21,Yes,,3,1,1,Female,english ,
289,condition1,22,Yes,,4,1,1,Female,"English, Punjabi",
548,condition1,50,No,not sure what i was supposed to do after couple of tasks,4,1,1,Female,english,
314,condition1,32,Yes,Cool study,3,2,1,Male,English,
438,condition1,45,Yes,,3,2,1,Female,English,
342,condition1,23,Yes,,4,1,1,Female,english ,
464,condition1,34,Yes,,4,1,1,Female,English,
502,condition1,37,Yes,,4,2,1,Male,English,
308,condition1,26,No,give more details next time,3,1,1,Female,english,
318,condition1,41,Yes,,3,1,1,Female,english,
288,condition1,21,Yes,,3,1,1,Female,English,
399,condition1,26,No,There was a small error with the slider with two questions. It wouldn't budge.,3,1,1,Female,English,
268,condition1,25,Yes,,5,2,1,Male,English,
220,condition1,48,Yes,,4,2,1,Female,English,
431,condition1,33,Yes,nice and straightforward task,4,1,1,Male,english,
543,condition1,31,Yes,,2,1,1,Male,English,
234,condition1,37,Yes,,3,1,1,Female,English,
569,condition1,51,Yes,none,4,2,1,Female,english,
170,condition1,23,Yes,,3,2,1,Female,English ,
534,condition1,42,Yes,,2,2,1,Female,,
551,condition1,23,Yes,,4,1,1,Female,english,
185,condition1,23,Yes,,4,1,1,Male,English,
463,condition1,35,Yes,no additional comments.,5,2,1,Female,English,
450,condition1,20,No,,3,1,1,Female,English ,
348,condition1,32,Yes,,3,1,1,Male,English,
269,condition1,41,Yes,,3,2,1,Female,English,
179,condition1,21,Yes,,3,2,1,Female,English,
337,condition1,27,Yes,,3,1,1,Female,english,
169,condition1,27,Yes,,4,1,1,Female,English,
572,condition1,22,Yes,,3,1,1,Female,English,
462,condition1,44,Yes,,5,1,1,Male,English ,
216,condition1,25,Yes,,4,2,1,Male,english,
181,condition1,37,Yes,"I can definitely see how people would answer these questions differently. For example, my fiance always rounds time much differently than I do, and we have had disagreements about it before.",3,1,1,Female,English,
162,condition1,34,Yes,Quick and easy!,5,1,1,Female,English,
556,condition1,53,Yes,I think these kinds of estimates are interesting.  i think the situation demands in terms of level of frustration may lead people to exaggerate their wait time.,4,2,1,Male,English,
207,condition1,62,Yes,"Good survey, different than the usual.",3,2,1,Female,English,
227,condition1,43,Yes,,4,1,1,Female,English,
323,condition1,38,Yes,n,4,1,1,Male,English,
224,condition1,33,Yes,,3,1,1,Male,English,
573,condition1,73,Yes,Time is a very subjective value and it never seems like there is enough to do what we want to do in life.,4,2,1,Male,English,
248,condition1,24,Yes,,4,2,1,Female,English,
381,condition1,53,Yes,,2,2,1,Male,English,
180,condition1,25,Yes,,4,1,-1,Female,English,
349,condition1,46,Yes,none,5,1,1,Male,english,
254,condition1,43,Yes,,5,2,1,Female,English,
219,condition1,32,Yes,,5,1,1,Female,English,
430,condition1,59,Yes,,4,1,1,Female,english,
494,condition1,23,Yes,,4,1,1,Male,English,
282,condition1,28,Yes,,4,1,0,Male,English,
555,condition1,24,Yes,,3,1,1,Female,english,
259,condition1,68,Yes,This was very interesting,2,2,1,Female,English,
309,condition1,22,Yes,,3,1,0,Male,English,
387,condition1,40,Yes,,4,1,1,Male,,
552,condition1,29,Yes,,4,1,1,Female,English ,
487,condition1,19,Yes,,3,1,1,Female,English,
271,condition1,22,Yes,,4,1,0,Female,English ,
521,condition1,29,Yes,,4,1,1,Male,English,
559,condition1,27,Yes,,4,1,1,Male,English,
454,condition1,23,Yes,,4,1,1,Male,English,
378,condition1,39,Yes,,4,2,0,Male,English,
535,condition1,26,Yes,,4,1,1,Female,English,
480,condition1,20,Yes,,3,2,1,Female,"English, Arabic",
395,condition1,19,Yes,,2,1,1,Female,English,
230,condition1,56,Yes,,2,1,1,Female,english,
352,condition1,23,Yes,,4,2,1,Female,"English, Spanish",
570,condition1,46,Yes,This was an interesting study.,5,1,1,Female,English,
171,condition1,34,Yes,"So, as someone who has seriously been laid into for being two minutes off a time estimate, I wouldn't mind seeing the results of this study. I think most responses wouldn't say more than 10 minutes before or after an expected time or wait. Almost every device has a clock on it and people are glued to 'em.",3,2,1,Female,English,
390,condition1,33,Yes,,3,2,1,Female,english,
564,condition1,31,Yes,,4,2,1,Female,english,
366,condition1,33,Yes,,2,2,1,Male,English,
525,condition1,31,No,,3,1,1,Male,English,
437,condition1,32,Yes,,4,1,1,Male,english,
476,condition1,19,No,,2,1,1,Male,Spanish & English,
428,condition1,41,No,It was a confusing experiment. ,4,1,1,Male,english,
562,condition1,21,Yes,,3,2,1,Female,English,
312,condition1,50,Yes,,3,1,1,Male,english,
197,condition1,37,Yes,It was a good experience,1,2,1,Male,English,
540,condition1,29,Yes,,4,2,1,Male,English,
201,condition1,68,Yes,,4,1,1,Male,English,
482,condition1,24,No,,3,1,1,Female,english/spanish,
409,condition1,28,Yes,,4,1,1,Female,English,
459,condition1,21,Yes,,3,1,1,Female,English,
475,condition1,36,Yes,,4,2,1,Male,English,
547,condition1,29,Yes,,3,1,1,Male,English,
343,condition1,46,Yes,I never really gave much thought before this about how different people and different situations causes us to round off time,4,2,1,Male,English,
470,condition1,50,Yes,,4,1,1,Male,"english, spanish",
493,condition1,18,No,confusing,3,1,1,Female,English,
529,condition1,34,Yes,,3,1,1,Female,English,
488,condition1,45,Yes,It was interesting as I don't think I've done a study like this before.,-1,1,1,Male,English,
327,condition1,41,Yes,,5,2,1,Other,English,
435,condition1,35,Yes,Very fun and well put together. Thanks for all you do.,3,2,1,Male,Spanish,
223,condition1,28,Yes,,4,1,1,Female,English,
578,condition1,28,Yes,,4,1,1,Female,English,
329,condition1,30,Yes,,5,1,1,Female,English,
453,condition1,32,Yes,,4,1,1,Male,2,
186,condition1,27,Yes,,4,2,1,Male,English,
189,condition1,24,Yes,Good survry,4,1,1,Female,English ,
330,condition1,24,Yes,,3,2,1,Female,English,
508,condition1,57,Yes,The sliders did not have sufficient choices. Sometimes I wanted to choose less or more time than the far extremes of the sliders. ,4,2,1,Female,English,
461,condition1,26,Yes,,4,2,1,Female,English,
209,condition1,31,Yes,No comments or feedback,3,1,1,Male,English,
520,condition1,35,Yes,,4,2,1,Male,English,
484,condition1,27,Yes,,3,2,1,Female,English,
406,condition1,19,Yes,,3,1,1,Female,English,
243,condition1,29,No,"The questions were phrased in a confusing way. If someone is looking at a clock and saying it's 1:30, then the time is 1:30, there's no subjectivity about it. I figured I just misinterpreted the directions and tried to answer the best I could.",3,1,1,Female,English,
526,condition1,47,Yes,,3,1,1,Female,English,
565,condition1,20,Yes,,3,2,1,Female,english,
305,condition1,34,Yes,this was fun and thought provoking to how language changes even with a specific time. ,3,2,1,Female,English,
286,condition1,52,Yes,,2,1,1,Female,english,
351,condition1,24,Yes,,4,1,1,Female,English and Japanese,
368,condition1,20,Yes,,3,1,1,Male,Spanish,
229,condition1,79,Yes,,3,1,1,Male,English,
313,condition1,26,No,NA,4,1,1,Female,English,
386,condition1,36,Yes,,2,1,1,Female,english,
416,condition1,39,Yes,,3,0,1,Female,English,
546,condition1,45,Yes,,2,1,1,Female,English,
183,condition1,26,Yes,really different type of experiment iv'e seen,3,2,1,Female,spanish,
410,condition1,34,No,,2,1,1,Female,English,
240,condition1,26,Yes,,4,1,1,Male,English,
239,condition1,28,Yes,Straight forward. No issues. ,5,1,1,Male,English,
478,condition1,48,Yes,,4,2,1,Male,English,
537,condition1,34,Yes,,4,1,1,Female,english,
519,condition1,27,Yes,,2,1,1,Male,English,
496,condition1,24,Yes,Nothing at this time. ,4,1,1,Female,English,
270,condition1,45,Yes,,4,2,1,Male,English,
385,condition1,23,No,,2,0,0,Male,English,
334,condition1,40,Yes,,4,1,1,Male,,
353,condition1,49,Yes,,3,1,1,Female,english,
300,condition1,35,Yes,,2,2,1,Male,English ,
561,condition1,25,Yes,Happy holidays,3,1,1,Female,English,
581,condition1,,Yes,,-1,-1,-1,,,
533,condition1,69,Yes,It seemed like both answers had to be the same.,4,1,1,Female,English,
531,condition1,30,Yes,it was unclear who some of the 'characters' were in this experiment,4,1,1,Other,english,
549,condition1,27,Yes,,3,1,1,Female,"English, some Spanish",
362,condition1,29,Yes,,4,1,1,Male,English,
167,condition1,64,Yes,I don't understand. Are we to assume they are lying? You look at your phone and the time is say 9:30. Time is time. What is the earliest time? 9:30 What is the latest time? 9:30. I must have really missed something?,3,0,1,Female,English,
281,condition1,66,Yes,If this is educational research why care? ,4,2,1,Female,English,
580,condition1,47,Yes,There were no numbers on the sliders so I hope it did it right? ,3,2,1,Female,English ,
196,condition1,37,Yes,,3,1,1,Other,english,
159,condition1,31,Yes,,4,1,1,Female,English,
311,condition1,31,Yes,,3,2,1,Female,English,
408,condition1,50,Yes,"Makes you think about how people ""tell"" time!",4,2,1,Female,English,
284,condition1,36,Yes,,4,1,1,Female,English,
483,condition1,35,Yes,,5,1,1,Male,English,
511,condition1,66,Yes,,2,2,1,Male,English ,
256,condition1,23,Yes,,2,1,1,Female,english,
424,condition1,29,Yes,,3,2,1,Female,english,
261,condition1,19,Yes,,2,1,1,Female,English,
504,condition1,32,Yes,,5,0,1,Male,English,
345,condition1,30,Yes,,1,1,1,Male,English,
500,condition1,29,Yes,,4,2,1,Female,English,
194,condition1,22,Yes,,3,1,0,Female,english,
255,condition1,30,Yes,,4,1,1,Female,english,
191,condition1,53,Yes,,3,1,1,Female,english,
373,condition1,,Yes,,4,1,1,Female,English,
419,condition1,23,Yes,,4,1,0,Female,English,
260,condition1,19,Yes,,3,1,1,Female,English ,
392,condition1,24,Yes,It was fun and interesting ,4,2,1,Female,English,
241,condition1,31,Yes,"I think I understood the task? I generally like to tell people the exact time and am lenient on my minute-estimates, so I thought this was interesting.",5,1,1,Female,1,
333,condition1,29,Yes,,4,1,1,Female,English,
233,condition1,33,Yes,,4,2,1,Female,ENGLISH,
357,condition1,30,Yes,None.,3,2,1,Male,English,
452,condition1,20,Yes,,4,1,1,Female,English,
499,condition1,22,No,,3,1,1,Female,English,
304,condition1,19,Yes,,3,1,1,Other,English,
545,condition1,27,Yes,,4,1,1,Female,English,
331,condition1,25,Yes,,5,-1,1,Female,English,
157,condition1,22,Yes,,4,1,1,Female,English,
278,condition1,32,Yes,,5,2,1,Male,English,
481,condition1,63,No,"I thought much were examples of correct responses.   I was waiting to get to the ""real"" questions.  I would gladly do them over.",4,0,1,Female,English,
231,condition1,43,Yes,On some of the ranges that had specific amounts of time on either end - I thought those could be expanded. ,5,2,1,Female,English,
297,condition1,46,Yes,Time is an exact thing but I can see how it could be interpreted differently by others.,4,1,1,Male,English,
524,condition1,33,Yes,,4,1,1,Male,English,
401,condition1,24,Yes,,4,2,1,Female,English,
344,condition1,58,Yes,I enjoyed the survey it was a good use of my time. ,3,2,1,Female,English ,
296,condition1,22,Yes,,4,1,1,Female,"Russian, English",
257,condition1,31,Yes,,3,1,1,Female,English,
317,condition1,25,Yes,,4,2,1,Female,English,
440,condition1,42,Yes,,5,1,1,Male,english,
174,condition1,25,Yes,,4,1,1,Female,English,
380,condition1,34,Yes,,3,1,1,Male,English,
495,condition1,48,Yes,,3,1,1,Female,English,
407,condition1,24,Yes,,4,1,1,Female,English,
160,condition1,37,Yes,,4,2,1,Female,english,
202,condition1,29,No,,5,1,1,Female,Englsih,
505,condition1,27,Yes,,4,2,1,Male,English,
215,condition1,27,Yes,Interesting tasks!,5,2,1,Female,English only,
237,condition1,18,Yes,,3,2,1,Male,English,
332,condition1,35,Yes,,3,1,1,Female,English,
434,condition1,66,Yes,,4,1,1,Female,English,
536,condition1,25,Yes,,1,1,1,Male,english,
391,condition1,26,Yes,,5,1,1,Female,English,
460,condition1,38,Yes,,3,1,1,Male,English,
490,condition1,27,Yes,,4,1,1,Male,English,
276,condition1,58,Yes,A practice or example would help. I got it after the first couple. I knew what you were asking but was not up to speed on first question or two. Thank you,3,2,1,Female,english,
471,condition1,29,Yes,,3,1,1,Male,English,
491,condition1,28,Yes,,3,1,1,Male,English ,
477,condition1,20,Yes,,3,1,1,Male,English,
306,condition1,39,Yes,,4,1,1,Female,english,
469,condition1,20,Yes,,3,1,1,Female,English,
176,condition1,19,Yes,,3,1,1,Female,"English, Mandarin",
501,condition1,40,Yes,,4,2,1,Male,English,
225,condition1,38,Yes,,4,2,1,Male,English,
293,condition1,38,Yes,,4,2,0,Male,English,
530,condition1,19,Yes,,3,1,1,Female,English,
252,condition1,46,Yes,None.,5,1,1,Female,English,
404,condition1,20,Yes,,3,2,1,Female,English,
320,condition1,56,Yes,,4,1,1,Female,english,
161,condition1,21,Yes,,3,2,1,Male,English ,
528,condition1,34,Yes,,4,1,1,Male,english,
218,condition1,55,Yes,I never did this kind of survey before.  It was interesting.,3,1,1,Female,English,
418,condition1,19,Yes,,2,1,1,Other,"English, Polish",
214,condition1,23,Yes,,3,1,1,Female,English,
421,condition1,27,Yes,,4,1,1,Female,english,
388,condition1,23,Yes,,4,2,1,Male,"English, German",
310,condition1,49,Yes,Thank you for the opportunity to participate.,3,1,1,Female,English,
326,condition1,27,Yes,"I appreciated how well put together you made the pairs of people, it made the scenarios more engaging.",3,2,1,Female,English,
