workerid,proliferate.condition,Browser,OS,screenH,screenW,error
173,condition1,Chrome,Linux,854,385,
172,condition1,Safari,iPhone/iPod,926,428,
289,condition1,Safari,Mac,800,1280,
548,condition1,Chrome,Windows,768,1366,
314,condition1,Chrome,Linux,640,360,
438,condition1,Chrome,Windows,720,1280,
342,condition1,Safari,iPhone/iPod,896,414,
464,condition1,Chrome,Mac,900,1440,
502,condition1,Chrome,Windows,768,1366,
308,condition1,Chrome,Mac,900,1440,
318,condition1,Chrome,Mac,800,1280,
288,condition1,Chrome,Mac,900,1440,
399,condition1,Chrome,Windows,900,1600,
268,condition1,Firefox,Windows,1056,1877,
220,condition1,Chrome,Windows,1024,1280,
431,condition1,Chrome,Windows,1080,1920,
543,condition1,Chrome,Mac,900,1440,
234,condition1,Chrome,Linux,851,393,
569,condition1,Chrome,Mac,1440,2560,
170,condition1,Chrome,Linux,780,360,
534,condition1,Chrome,Windows,768,1366,
551,condition1,Chrome,Windows,768,1280,
185,condition1,Chrome,Windows,720,1280,
463,condition1,Firefox,Mac,1050,1680,
450,condition1,Safari,iPhone/iPod,896,414,
348,condition1,Firefox,Windows,1080,1920,
269,condition1,Chrome,Windows,864,1536,
179,condition1,Chrome,Mac,900,1440,
337,condition1,Chrome,Linux,768,1366,
169,condition1,Chrome,Mac,1120,1792,
572,condition1,Safari,iPhone/iPod,896,414,
462,condition1,Safari,iPhone/iPod,896,414,
216,condition1,Chrome,Windows,1080,1920,
181,condition1,Chrome,Windows,1080,1920,
162,condition1,Chrome,Windows,1080,1920,
556,condition1,Chrome,Mac,900,1440,
207,condition1,Chrome,Windows,768,1366,
227,condition1,Chrome,Windows,768,1366,
323,condition1,Chrome,Windows,864,1536,
224,condition1,Firefox,Linux,900,1600,
573,condition1,Chrome,Windows,768,1366,
248,condition1,Chrome,Mac,900,1440,
381,condition1,Chrome,Windows,726,1162,
180,condition1,Chrome,Windows,1080,1920,
349,condition1,Chrome,Mac,900,1440,
254,condition1,Chrome,Mac,900,1440,
219,condition1,Firefox,Windows,864,1536,
430,condition1,Chrome,Mac,900,1440,
494,condition1,Chrome,Windows,1080,1920,
282,condition1,Chrome,Windows,1080,2560,
555,condition1,Chrome,Windows,1080,1920,
259,condition1,Chrome,Windows,1080,1920,
309,condition1,Chrome,Windows,864,1536,
387,condition1,Safari,Mac,1050,1680,
552,condition1,Safari,iPhone/iPod,896,414,
487,condition1,Chrome,Mac,900,1440,
271,condition1,Safari,iPhone/iPod,736,414,
521,condition1,Chrome,Windows,1080,1920,
559,condition1,Chrome,Windows,864,1536,
454,condition1,Safari,iPhone/iPod,844,390,
378,condition1,Chrome,Windows,1204,1805,
535,condition1,Chrome,Mac,900,1440,
480,condition1,Chrome,Mac,900,1440,
395,condition1,Chrome,Linux,851,393,
230,condition1,Chrome,Windows,900,1600,
352,condition1,Chrome,Mac,1080,1920,
570,condition1,Chrome,Windows,1080,1920,
171,condition1,Chrome,Windows,1080,1920,
390,condition1,Chrome,Mac,1260,2240,
564,condition1,Chrome,Mac,900,1440,
366,condition1,Chrome,Windows,768,1366,
525,condition1,Chrome,Windows,1080,1920,
437,condition1,Firefox,Windows,1440,7680,
476,condition1,Chrome,Windows,1080,1920,
428,condition1,Chrome,Mac,1080,1920,
562,condition1,Chrome,Windows,768,1366,
312,condition1,Chrome,Windows,768,1366,
197,condition1,Chrome,Linux,938,412,
540,condition1,Chrome,Windows,1080,1920,
201,condition1,Chrome,Mac,900,1440,
482,condition1,Chrome,Windows,864,1536,
409,condition1,Chrome,Windows,768,1366,
459,condition1,Chrome,Mac,900,1440,
475,condition1,Chrome,Windows,1080,1920,
547,condition1,Chrome,Windows,720,1280,
343,condition1,Chrome,Linux,877,412,
470,condition1,Chrome,Mac,1050,1680,
493,condition1,Safari,Mac,900,1440,
529,condition1,Safari,iPhone/iPod,568,320,
488,condition1,Chrome,Windows,1080,1920,
327,condition1,Chrome,Mac,1200,1920,
435,condition1,Chrome,Windows,864,1536,
223,condition1,Chrome,Mac,900,1440,
578,condition1,Chrome,Windows,1080,1920,
329,condition1,Chrome,Mac,900,1440,
453,condition1,Firefox,Windows,912,1368,
186,condition1,Firefox,Mac,900,1440,
189,condition1,Safari,Mac,1080,810,
330,condition1,Chrome,Windows,1080,1920,
508,condition1,Chrome,Windows,800,1280,
461,condition1,Chrome,Windows,720,1280,
209,condition1,Chrome,Windows,1024,1280,
520,condition1,Firefox,Windows,1080,1920,
484,condition1,Chrome,Windows,768,1366,
406,condition1,Chrome,Mac,900,1440,
243,condition1,Chrome,Mac,1117,1728,
526,condition1,Chrome,Windows,912,1368,
565,condition1,Chrome,Windows,720,1280,
305,condition1,Chrome,Windows,768,1366,
286,condition1,Chrome,Windows,720,1280,
351,condition1,Chrome,Mac,1050,1680,
368,condition1,Chrome,Mac,900,1440,
229,condition1,Chrome,Windows,864,1536,
313,condition1,Safari,iPhone/iPod,896,414,
386,condition1,Chrome,Windows,720,1280,
416,condition1,Chrome,Linux,780,360,
546,condition1,Chrome,Windows,1080,1920,
183,condition1,Chrome,Mac,768,1366,
410,condition1,Chrome,Windows,900,1440,
240,condition1,Chrome,Windows,1080,1920,
239,condition1,Chrome,Windows,1080,1920,
478,condition1,Chrome,Windows,1080,1920,
537,condition1,Chrome,Windows,900,1600,
519,condition1,Chrome,Windows,1080,1920,
496,condition1,Chrome,Windows,720,1280,
270,condition1,Chrome,Windows,1080,1920,
385,condition1,Safari,Mac,1194,834,
334,condition1,Firefox,Linux,1080,1920,
353,condition1,Chrome,Windows,615,1093,
300,condition1,Chrome,Linux,854,384,
561,condition1,Chrome,Windows,768,1366,
581,condition1,Firefox,Windows,810,1440,
533,condition1,Chrome,Windows,864,1536,
531,condition1,Chrome,Mac,900,1440,
549,condition1,Firefox,Windows,768,1366,
362,condition1,Chrome,Windows,900,1440,
167,condition1,Chrome,Windows,1080,1920,
281,condition1,Chrome,Windows,864,1536,
580,condition1,Safari,iPhone/iPod,812,375,
196,condition1,Chrome,Windows,864,1536,
159,condition1,Chrome,Windows,864,1536,
311,condition1,Chrome,Linux,780,360,
408,condition1,Chrome,Windows,1080,1920,
284,condition1,Firefox,Mac,800,1280,
483,condition1,Chrome,Windows,1200,1920,
511,condition1,Chrome,Linux,915,412,
256,condition1,Chrome,Windows,864,1536,
424,condition1,Chrome,Windows,1080,1920,
261,condition1,Chrome,Mac,900,1440,
504,condition1,Chrome,Windows,768,1366,
345,condition1,Chrome,Windows,1200,1920,
500,condition1,Chrome,Windows,1080,1920,
194,condition1,Safari,Mac,1366,1024,
255,condition1,Chrome,Windows,720,1280,
191,condition1,Firefox,Windows,1080,1920,
373,condition1,Safari,iPhone/iPod,896,414,
419,condition1,Firefox,Windows,900,1600,
260,condition1,Safari,iPhone/iPod,896,414,
392,condition1,Chrome,Mac,1050,1680,
241,condition1,Chrome,Windows,720,1280,
333,condition1,Chrome,Windows,1080,1920,
233,condition1,Chrome,Mac,900,1440,
357,condition1,Chrome,Windows,864,1536,
452,condition1,Chrome,Mac,900,1440,
499,condition1,Safari,Mac,900,1440,
304,condition1,Chrome,Windows,900,1600,
545,condition1,Chrome,Mac,900,1440,
331,condition1,Chrome,Mac,900,1440,
157,condition1,Chrome,Windows,1080,1920,
278,condition1,Chrome,Mac,900,1440,
481,condition1,Chrome,Windows,864,1536,
231,condition1,Chrome,Windows,864,1536,
297,condition1,Chrome,Windows,1080,1920,
524,condition1,Chrome,Windows,1080,1920,
401,condition1,Chrome,Mac,900,1440,
344,condition1,Chrome,Linux,800,360,
296,condition1,Chrome,Mac,900,1440,
257,condition1,Safari,iPhone/iPod,844,390,
317,condition1,Chrome,Linux,915,412,
440,condition1,Chrome,Windows,1000,1500,
174,condition1,Chrome,Mac,900,1440,
380,condition1,Chrome,Windows,1080,1920,
495,condition1,Chrome,Windows,864,1536,
407,condition1,Chrome,Windows,720,1280,
160,condition1,Chrome,Mac,900,1440,
202,condition1,Chrome,Windows,720,1280,
505,condition1,Chrome,Windows,1080,1920,
215,condition1,Chrome,Mac,900,1440,
237,condition1,Chrome,Windows,864,1536,
332,condition1,Chrome,Windows,1080,1920,
434,condition1,Chrome,Windows,1017,1628,
536,condition1,Chrome,Windows,1080,1920,
391,condition1,Chrome,Linux,823,412,
460,condition1,Chrome,Linux,768,1366,
490,condition1,Chrome,Windows,1440,3440,
276,condition1,Chrome,Windows,1024,1280,
471,condition1,Chrome,Windows,900,1600,
491,condition1,Chrome,Linux,740,360,
477,condition1,Safari,Mac,1112,834,
306,condition1,Chrome,Windows,768,1366,
469,condition1,Safari,an unknown OS,1080,810,
176,condition1,Chrome,Windows,864,1536,
501,condition1,Chrome,Windows,720,1280,
225,condition1,Chrome,Linux,760,360,
293,condition1,Chrome,Mac,900,1440,
530,condition1,Chrome,Mac,900,1440,
252,condition1,Chrome,Mac,900,1440,
404,condition1,Chrome,Mac,900,1440,
320,condition1,Chrome,Linux,720,1280,
161,condition1,Safari,iPhone/iPod,844,390,
528,condition1,Chrome,Windows,1080,1920,
218,condition1,Chrome,Windows,1080,1920,
418,condition1,Chrome,Windows,1080,1920,
214,condition1,Firefox,Windows,864,1536,
421,condition1,Chrome,Windows,1080,1920,
388,condition1,Chrome,Mac,900,1440,
310,condition1,Chrome,Windows,768,1366,
326,condition1,Chrome,Linux,854,384,
217,condition1,Chrome,Windows,1080,1920,
205,condition1,Chrome,Windows,864,1536,
473,condition1,Chrome,Windows,720,1280,
518,condition1,Chrome,Windows,768,1366,
489,condition1,Chrome,Mac,900,1440,
287,condition1,Chrome,Windows,768,1366,
359,condition1,Safari,Mac,900,1440,
486,condition1,Chrome,Windows,864,1536,
558,condition1,Chrome,Windows,1080,1920,
567,condition1,Chrome,Windows,720,1280,
560,condition1,Chrome,Windows,1080,1920,
538,condition1,Chrome,Windows,864,1536,
295,condition1,Chrome,Windows,1080,1920,
164,condition1,Chrome,Linux,768,1366,
393,condition1,Chrome,Windows,864,1536,
275,condition1,Chrome,Mac,900,1440,
356,condition1,Chrome,Windows,1080,1920,
426,condition1,Firefox,Linux,1440,2560,
198,condition1,Safari,Mac,900,1440,
377,condition1,Chrome,Windows,864,1536,
544,condition1,Safari,Mac,1120,1792,
322,condition1,Firefox,Windows,360,640,
414,condition1,Chrome,Mac,900,1440,
442,condition1,Safari,Mac,900,1440,
221,condition1,Chrome,Windows,864,1536,
200,condition1,Firefox,Windows,1080,1920,
245,condition1,Chrome,Linux,768,1366,
389,condition1,Firefox,Mac,900,1440,
474,condition1,Chrome,Linux,800,360,
405,condition1,Chrome,Windows,720,1280,
403,condition1,Chrome,Windows,1200,1600,
382,condition1,Chrome,Windows,768,1366,
443,condition1,Chrome,Mac,900,1440,
211,condition1,Chrome,Windows,720,1280,
163,condition1,Chrome,Mac,900,1440,
372,condition1,Safari,iPhone/iPod,812,375,
539,condition1,Safari,Mac,900,1440,
291,condition1,Chrome,Mac,1440,2560,
542,condition1,Firefox,Windows,1080,1920,
432,condition1,Chrome,Windows,864,1536,
503,condition1,Chrome,Windows,1080,1920,
298,condition1,Chrome,Windows,864,1536,
458,condition1,Chrome,Windows,864,1536,
371,condition1,Chrome,Mac,900,1440,
429,condition1,Chrome,Mac,900,1440,
361,condition1,Chrome,Windows,720,1280,
354,condition1,Chrome,Windows,1003,1504,
365,condition1,Firefox,Windows,1152,2048,
212,condition1,Chrome,Mac,800,1280,
208,condition1,Chrome,Windows,1080,1920,
413,condition1,Safari,iPhone/iPod,568,320,
457,condition1,Chrome,Mac,982,1512,
517,condition1,Safari,iPhone/iPod,896,414,
441,condition1,Chrome,Windows,1080,1920,
251,condition1,Chrome,Windows,864,1536,
444,condition1,Chrome,Windows,864,1536,
294,condition1,Firefox,Windows,1080,1920,
383,condition1,Firefox,Windows,768,1360,
579,condition1,Chrome,Windows,1080,1920,
563,condition1,Firefox,Windows,1200,1920,
280,condition1,Chrome,Mac,1080,1920,
235,condition1,Chrome,Linux,640,360,
575,condition1,Chrome,Windows,1080,1920,
250,condition1,Firefox,Windows,1080,1920,
166,condition1,Chrome,Linux,800,360,
498,condition1,Chrome,Mac,900,1440,
336,condition1,Chrome,Windows,960,1707,
412,condition1,Chrome,Windows,720,1280,
228,condition1,Chrome,Windows,768,1366,
232,condition1,Chrome,Linux,740,360,
253,condition1,Chrome,Linux,960,412,
425,condition1,Chrome,Mac,900,1440,
497,condition1,Chrome,Windows,768,1366,
550,condition1,Chrome,Windows,1080,1920,
577,condition1,Chrome,Windows,768,1366,
394,condition1,Chrome,Mac,900,1440,
299,condition1,Chrome,Windows,864,1536,
417,condition1,Safari,an unknown OS,1080,810,
466,condition1,Chrome,Windows,1080,1920,
242,condition1,Safari,iPhone/iPod,896,414,
523,condition1,Chrome,Mac,900,1440,
513,condition1,Firefox,Windows,864,1536,
446,condition1,Chrome,Mac,1080,1920,
456,condition1,Chrome,Mac,800,1280,
195,condition1,Chrome,Windows,1200,1600,
576,condition1,Chrome,Windows,1080,1920,
244,condition1,Chrome,Mac,900,1440,
206,condition1,Safari,iPhone/iPod,812,375,
455,condition1,Safari,Mac,1194,834,
267,condition1,Chrome,Windows,864,1536,
265,condition1,Chrome,Windows,768,1366,
449,condition1,Safari,iPhone/iPod,812,375,
204,condition1,Chrome,Mac,900,1440,
178,condition1,Chrome,Linux,731,1300,
187,condition1,Chrome,Windows,1080,1920,
238,condition1,Safari,iPhone/iPod,844,390,
509,condition1,Firefox,Windows,900,1600,
301,condition1,Chrome,Mac,800,1280,
307,condition1,Firefox,Windows,1080,1920,
516,condition1,Chrome,Windows,768,1366,
346,condition1,Chrome,Windows,900,1600,
364,condition1,Chrome,Linux,768,1366,
468,condition1,Chrome,Windows,1080,1920,
247,condition1,Firefox,Windows,768,1366,
321,condition1,Chrome,Windows,720,1280,
522,condition1,Chrome,Windows,1080,1920,
510,condition1,Firefox,Windows,864,1536,
192,condition1,Chrome,Mac,900,1440,
302,condition1,Safari,Mac,1080,810,
285,condition1,Chrome,Mac,900,1440,
566,condition1,Chrome,Windows,768,1360,
402,condition1,Chrome,Windows,1080,1920,
397,condition1,Safari,Mac,900,1440,
376,condition1,Safari,iPhone/iPod,896,414,
341,condition1,Chrome,Windows,1080,1920,
415,condition1,Chrome,Mac,800,1280,
574,condition1,Chrome,Windows,1080,1920,
316,condition1,Safari,Mac,900,1440,
315,condition1,Chrome,Linux,869,412,
506,condition1,Chrome,Windows,1080,1920,
319,condition1,Chrome,Windows,864,1536,
439,condition1,Chrome,Windows,948,1685,
370,condition1,Chrome,Windows,864,1536,
182,condition1,Chrome,Windows,864,1536,
422,condition1,Chrome,Mac,900,1440,
445,condition1,Chrome,Windows,1200,1920,
375,condition1,Chrome,Linux,853,1517,
258,condition1,Chrome,Windows,864,1536,
158,condition1,Chrome,Windows,912,1368,
264,condition1,Chrome,Windows,768,1366,
203,condition1,Chrome,Windows,1080,1920,
447,condition1,Chrome,Windows,1440,2560,
355,condition1,Safari,an unknown OS,1024,768,
324,condition1,Firefox,Windows,1200,1920,
427,condition1,Safari,iPhone/iPod,736,414,
515,condition1,Firefox,Mac,800,1280,
350,condition1,Firefox,Windows,1080,1920,
290,condition1,Chrome,Windows,1080,1920,
273,condition1,Chrome,Windows,768,1366,
210,condition1,Chrome,Windows,1440,2560,
433,condition1,Chrome,Mac,800,1280,
193,condition1,Chrome,Windows,1024,1280,
507,condition1,Chrome,Windows,1080,1920,
184,condition1,Chrome,Mac,900,1440,
423,condition1,Chrome,Linux,640,320,
436,condition1,Safari,iPhone/iPod,667,375,
283,condition1,Chrome,Mac,900,1440,
374,condition1,Chrome,Windows,1080,1920,
328,condition1,Chrome,Windows,703,1249,
279,condition1,Chrome,Windows,1080,1920,
465,condition1,Chrome,Windows,1080,1920,
246,condition1,Chrome,Linux,1080,1920,
358,condition1,Chrome,Mac,900,1440,
411,condition1,Firefox,Mac,800,1280,
338,condition1,Firefox,Windows,768,1366,
485,condition1,Chrome,Linux,768,1366,
277,condition1,Chrome,Mac,1080,1920,
467,condition1,Chrome,Windows,768,1366,
335,condition1,Safari,iPhone/iPod,926,428,
222,condition1,Chrome,Mac,800,1280,
541,condition1,Chrome,Linux,960,432,
396,condition1,Chrome,Windows,864,1536,
557,condition1,Chrome,Windows,768,1366,
420,condition1,Chrome,Windows,1080,1920,
347,condition1,Chrome,Windows,668,1188,
512,condition1,Safari,iPhone/iPod,896,414,
292,condition1,Chrome,Windows,900,1440,
249,condition1,Chrome,Windows,720,1280,
369,condition1,Safari,iPhone/iPod,844,390,
226,condition1,Chrome,Windows,1050,1680,
303,condition1,Firefox,Windows,1080,1920,
398,condition1,Chrome,Windows,768,1366,
568,condition1,Chrome,Windows,768,1366,
514,condition1,Chrome,Mac,900,1440,
479,condition1,Firefox,Windows,1080,1920,
165,condition1,Safari,Mac,1050,1680,
272,condition1,Firefox,Windows,720,1280,
168,condition1,Chrome,Mac,1050,1680,
571,condition1,Chrome,Windows,864,1536,
451,condition1,Chrome,Windows,1080,1920,
527,condition1,Firefox,Windows,768,1366,
448,condition1,Chrome,Windows,768,1366,
199,condition1,Chrome,Linux,846,412,
