workerid,proliferate.condition,time_in_minutes,error
173,condition1,17.1056,
172,condition1,3.0821,
289,condition1,2.8145166666666666,
548,condition1,10.00565,
314,condition1,3.0291333333333332,
438,condition1,2.4749,
342,condition1,4.807516666666666,
464,condition1,2.2708166666666667,
502,condition1,1.8302666666666667,
308,condition1,13.445083333333333,
318,condition1,1.7789333333333333,
288,condition1,2.7015333333333333,
399,condition1,3.3975833333333334,
268,condition1,1.8613166666666667,
220,condition1,4.016683333333333,
431,condition1,4.048733333333334,
543,condition1,2.9494166666666666,
234,condition1,3.8710833333333334,
569,condition1,7.055516666666667,
170,condition1,2.3428,
534,condition1,5.5553333333333335,
551,condition1,2.968583333333333,
185,condition1,1.8014666666666668,
463,condition1,3.0191666666666666,
450,condition1,2.5379,
348,condition1,2.9971833333333335,
269,condition1,3.4600833333333334,
179,condition1,2.9746333333333332,
337,condition1,1.7867833333333334,
169,condition1,2.936366666666667,
572,condition1,5.197016666666666,
462,condition1,7.27835,
216,condition1,2.2913166666666664,
181,condition1,4.484216666666667,
162,condition1,3.26305,
556,condition1,3.6758,
207,condition1,6.241766666666667,
227,condition1,3.61535,
323,condition1,15.817433333333334,
224,condition1,2.95195,
573,condition1,5.4710833333333335,
248,condition1,3.7989333333333337,
381,condition1,7.271533333333333,
180,condition1,3.852133333333333,
349,condition1,2.01235,
254,condition1,2.5452833333333333,
219,condition1,2.6988333333333334,
430,condition1,3.4081,
494,condition1,1.7544166666666667,
282,condition1,2.303816666666666,
555,condition1,5.1722,
259,condition1,7.127766666666667,
309,condition1,3.150316666666667,
387,condition1,2.31835,
552,condition1,2.727883333333333,
487,condition1,3.1968833333333335,
271,condition1,3.057083333333334,
521,condition1,2.20255,
559,condition1,3.95775,
454,condition1,4.186933333333333,
378,condition1,3.96445,
535,condition1,3.0436833333333335,
480,condition1,3.54895,
395,condition1,3.944816666666666,
230,condition1,12.216083333333334,
352,condition1,2.4991166666666667,
570,condition1,3.5801166666666666,
171,condition1,11.26845,
390,condition1,2.6966,
564,condition1,3.0159,
366,condition1,6.080116666666667,
525,condition1,2.2711,
437,condition1,5.039333333333333,
476,condition1,7.029516666666667,
428,condition1,3.3288,
562,condition1,3.942816666666667,
312,condition1,3.2834333333333334,
197,condition1,1.9813166666666664,
540,condition1,3.440816666666666,
201,condition1,3.4462,
482,condition1,2.553533333333333,
409,condition1,3.81315,
459,condition1,1.8196333333333337,
475,condition1,2.8439833333333335,
547,condition1,1.988816666666667,
343,condition1,3.8104833333333334,
470,condition1,3.3144666666666667,
493,condition1,3.5085,
529,condition1,2.05685,
488,condition1,5.09155,
327,condition1,3.56775,
435,condition1,4.411,
223,condition1,2.0834333333333332,
578,condition1,3.5312666666666668,
329,condition1,2.7723,
453,condition1,2.6128833333333334,
186,condition1,2.93535,
189,condition1,2.0818833333333333,
330,condition1,2.4412666666666665,
508,condition1,4.025166666666666,
461,condition1,2.3541833333333333,
209,condition1,4.27495,
520,condition1,3.63545,
484,condition1,3.7017166666666665,
406,condition1,3.8011333333333335,
243,condition1,12.38605,
526,condition1,5.426333333333333,
565,condition1,3.00235,
305,condition1,12.143783333333332,
286,condition1,5.28825,
351,condition1,4.0889,
368,condition1,4.315466666666667,
229,condition1,4.929,
313,condition1,5.23,
386,condition1,2.331383333333333,
416,condition1,4.788483333333334,
546,condition1,1.7095333333333331,
183,condition1,2.719133333333333,
410,condition1,2.49655,
240,condition1,3.633033333333333,
239,condition1,2.7460833333333334,
478,condition1,1.7931666666666666,
537,condition1,2.1144,
519,condition1,5.050016666666667,
496,condition1,3.8202833333333337,
270,condition1,6.233183333333334,
385,condition1,2.5250333333333335,
334,condition1,4.27785,
353,condition1,3.66875,
300,condition1,4.1028,
561,condition1,12.8489,
581,condition1,3.5573,
533,condition1,5.090333333333334,
531,condition1,3.4499833333333334,
549,condition1,3.616783333333333,
362,condition1,2.2257166666666666,
167,condition1,10.290283333333331,
281,condition1,5.587316666666666,
580,condition1,10.970766666666666,
196,condition1,3.8078333333333334,
159,condition1,2.97035,
311,condition1,5.79275,
408,condition1,5.412283333333333,
284,condition1,6.845816666666667,
483,condition1,4.219083333333334,
511,condition1,4.8799166666666665,
256,condition1,2.9304666666666668,
424,condition1,2.6133,
261,condition1,2.84745,
504,condition1,2.767,
345,condition1,7.043783333333334,
500,condition1,3.1627833333333335,
194,condition1,2.3970666666666665,
255,condition1,2.8699833333333333,
191,condition1,2.2517833333333335,
373,condition1,3.3230166666666667,
419,condition1,2.1331333333333333,
260,condition1,1.9824333333333333,
392,condition1,2.3478166666666667,
241,condition1,3.0784833333333332,
333,condition1,3.3717333333333332,
233,condition1,2.4812833333333333,
357,condition1,3.1318166666666665,
452,condition1,2.5003166666666665,
499,condition1,1.9483333333333333,
304,condition1,3.04765,
545,condition1,2.9042,
331,condition1,3.5030166666666664,
157,condition1,3.2257666666666664,
278,condition1,3.9815,
481,condition1,4.7849,
231,condition1,3.5068,
297,condition1,4.1696333333333335,
524,condition1,1.6282333333333334,
401,condition1,6.440283333333333,
344,condition1,4.920466666666667,
296,condition1,1.9975666666666667,
257,condition1,4.4089,
317,condition1,4.16995,
440,condition1,3.4656833333333332,
174,condition1,4.162266666666667,
380,condition1,5.400316666666667,
495,condition1,2.4234666666666667,
407,condition1,3.3171166666666667,
160,condition1,3.876,
202,condition1,2.601383333333333,
505,condition1,1.9996166666666664,
215,condition1,4.7167666666666666,
237,condition1,3.6925333333333334,
