workerid,proliferate.condition,answerer gender,character_type,crit_trial_number,fill_trial_number,image1,image2,item,maximum,minimum,minute,name1,name2,questioner gender,stakes,time,trial_number,trial_time_minutes,trial_type,error
173,condition1,male,nerd,1,NA,nerd_girl2,nerd_guy2,premiere_crit,4,-6,none,Jordan,Jessie,female,low,3:00,1,0.44398333333333334,crit,
173,condition1,female,fill,NA,1,filler_guy1,filler_girl3,coffee_fill,6,-5,5,Kendall,Skyler,male,high,none,2,0.3522166666666667,fill,
173,condition1,female,hippie,2,NA,hippie_girl2,hippie_girl1,airport_crit,4,-5,none,Dakota,Riley,female,low,1:30,3,0.21523333333333333,crit,
173,condition1,female,nerd,3,NA,nerd_guy1,nerd_girl1,shopping_crit,5,-2,none,Ash,Alex,male,high,9:30,4,0.5823,crit,
173,condition1,female,fill,NA,2,filler_girl2,filler_girl1,restaurant_fill,16,-17,20,Sam,Shawn,female,low,none,5,0.27385,fill,
173,condition1,male,hippie,4,NA,hippie_guy1,hippie_guy2,bank_crit,4,-4,none,Morgan,Quinn,male,high,8:00,6,0.15256666666666666,crit,
173,condition1,male,fill,NA,3,filler_guy3,filler_guy4,phone_fill,7,-9,15,Taylor,Casey,male,low,none,7,0.20206666666666667,fill,
173,condition1,male,fill,NA,4,filler_girl4,filler_guy2,store_fill,7,-9,10,Devin,Jamie,female,high,none,8,0.5436166666666666,fill,
172,condition1,male,fill,NA,1,filler_girl1,filler_guy1,store_fill,10,-1,20,Morgan,Kendall,female,high,none,1,0.48496666666666666,fill,
172,condition1,female,hippie,1,NA,hippie_girl2,hippie_girl1,premiere_crit,8,-7,none,Riley,Skyler,female,low,3:00,2,0.4632333333333334,crit,
172,condition1,male,fill,NA,2,filler_girl3,filler_guy3,coffee_fill,7,0,15,Ash,Casey,female,high,none,3,0.19673333333333337,fill,
172,condition1,male,nerd,2,NA,nerd_guy2,nerd_guy1,airport_crit,5,3,none,Jordan,Alex,male,low,1:30,4,0.31328333333333336,crit,
172,condition1,female,fill,NA,3,filler_guy2,filler_girl2,phone_fill,3,-3,5,Devin,Dakota,male,low,none,5,0.23295,fill,
172,condition1,male,fill,NA,4,filler_girl4,filler_guy4,restaurant_fill,3,-2,10,Jamie,Jessie,female,low,none,6,0.19108333333333333,fill,
172,condition1,female,nerd,3,NA,nerd_girl1,nerd_girl2,bank_crit,9,3,none,Sam,Taylor,female,high,8:00,7,0.27115,crit,
172,condition1,male,hippie,4,NA,hippie_guy2,hippie_guy1,shopping_crit,6,-3,none,Quinn,Shawn,male,high,9:30,8,0.1943,crit,
289,condition1,female,fill,NA,1,filler_guy3,filler_girl4,coffee_fill,11,-5,20,Shawn,Jordan,male,high,none,1,0.37998333333333334,fill,
