workerid,proliferate.condition,char_group1,char_group2,char_group3,self_id1,self_id2,self_id3,self_id_image1,self_id_image2,self_id_image3,self_id_image4,self_id_image5,self_id_image6,trial_time_minutes,error
738,condition1,hippie,nerd,filler,1,2,5,hippie_girl2,hippie_guy2,nerd_girl2,nerd_guy2,filler_girl2,filler_guy3,0.33625,
708,condition1,hippie,nerd,filler,3,1,5,hippie_girl2,hippie_guy1,nerd_girl1,nerd_guy1,filler_girl1,filler_guy3,0.3796833333333333,
587,condition1,filler,nerd,hippie,5,4,3,filler_girl2,filler_guy4,nerd_girl2,nerd_guy2,hippie_girl2,hippie_guy2,0.6166666666666667,
814,condition1,nerd,filler,hippie,3,6,2,nerd_girl2,nerd_guy2,filler_girl3,filler_guy4,hippie_girl1,hippie_guy2,0.3342,
700,condition1,filler,hippie,nerd,5,1,2,filler_girl1,filler_guy4,hippie_girl1,hippie_guy2,nerd_girl2,nerd_guy2,0.27613333333333334,
678,condition1,filler,nerd,hippie,5,3,1,filler_girl3,filler_guy4,nerd_girl2,nerd_guy1,hippie_girl1,hippie_guy2,0.4195333333333333,
711,condition1,nerd,filler,hippie,2,3,2,nerd_girl1,nerd_guy2,filler_girl4,filler_guy4,hippie_girl1,hippie_guy1,0.4070166666666667,
965,condition1,filler,hippie,nerd,1,2,1,filler_girl4,filler_guy4,hippie_girl1,hippie_guy1,nerd_girl1,nerd_guy1,0.47065,
586,condition1,nerd,filler,hippie,2,5,1,nerd_girl1,nerd_guy2,filler_girl1,filler_guy1,hippie_girl2,hippie_guy2,0.34376666666666666,
948,condition1,nerd,filler,hippie,5,6,2,nerd_girl2,nerd_guy1,filler_girl3,filler_guy3,hippie_girl2,hippie_guy2,0.21598333333333333,
679,condition1,filler,hippie,nerd,6,6,4,filler_girl2,filler_guy4,hippie_girl1,hippie_guy2,nerd_girl2,nerd_guy2,0.5348,
812,condition1,filler,nerd,hippie,5,2,6,filler_girl1,filler_guy2,nerd_girl1,nerd_guy2,hippie_girl2,hippie_guy1,0.5618,
673,condition1,filler,nerd,hippie,2,2,2,filler_girl1,filler_guy2,nerd_girl1,nerd_guy1,hippie_girl2,hippie_guy2,0.27466666666666667,
924,condition1,nerd,filler,hippie,2,1,1,nerd_girl2,nerd_guy2,filler_girl3,filler_guy4,hippie_girl2,hippie_guy2,0.49065,
974,condition1,filler,nerd,hippie,2,3,1,filler_girl1,filler_guy3,nerd_girl2,nerd_guy2,hippie_girl2,hippie_guy2,0.5991,
890,condition1,nerd,filler,hippie,5,3,1,nerd_girl2,nerd_guy1,filler_girl2,filler_guy2,hippie_girl2,hippie_guy1,0.4965333333333333,
796,condition1,filler,hippie,nerd,6,1,1,filler_girl2,filler_guy4,hippie_girl1,hippie_guy2,nerd_girl2,nerd_guy2,0.2121,
735,condition1,nerd,filler,hippie,1,6,1,nerd_girl1,nerd_guy1,filler_girl3,filler_guy4,hippie_girl1,hippie_guy1,0.4023333333333333,
658,condition1,filler,hippie,nerd,3,3,4,filler_girl3,filler_guy4,hippie_girl1,hippie_guy1,nerd_girl2,nerd_guy1,0.3077,
971,condition1,hippie,filler,nerd,3,5,3,hippie_girl1,hippie_guy2,filler_girl4,filler_guy1,nerd_girl2,nerd_guy2,0.23996666666666663,
643,condition1,nerd,hippie,filler,5,5,4,nerd_girl2,nerd_guy1,hippie_girl1,hippie_guy1,filler_girl1,filler_guy1,0.2917166666666667,
923,condition1,hippie,filler,nerd,3,5,2,hippie_girl2,hippie_guy2,filler_girl4,filler_guy1,nerd_girl1,nerd_guy2,0.2913,
654,condition1,nerd,hippie,filler,3,1,3,nerd_girl2,nerd_guy2,hippie_girl1,hippie_guy1,filler_girl4,filler_guy4,0.5174166666666666,
710,condition1,filler,nerd,hippie,5,3,2,filler_girl4,filler_guy3,nerd_girl1,nerd_guy2,hippie_girl1,hippie_guy2,0.32133333333333336,
775,condition1,nerd,hippie,filler,6,3,7,nerd_girl1,nerd_guy2,hippie_girl1,hippie_guy2,filler_girl2,filler_guy3,0.47851666666666665,
740,condition1,filler,nerd,hippie,4,4,4,filler_girl1,filler_guy1,nerd_girl1,nerd_guy2,hippie_girl1,hippie_guy1,0.16766666666666666,
856,condition1,hippie,filler,nerd,2,5,3,hippie_girl1,hippie_guy1,filler_girl4,filler_guy1,nerd_girl2,nerd_guy2,0.5995,
908,condition1,nerd,hippie,filler,5,3,4,nerd_girl1,nerd_guy1,hippie_girl2,hippie_guy1,filler_girl2,filler_guy3,0.23253333333333337,
683,condition1,filler,nerd,hippie,1,1,1,filler_girl4,filler_guy4,nerd_girl1,nerd_guy1,hippie_girl1,hippie_guy1,0.3376166666666667,
941,condition1,nerd,filler,hippie,2,5,1,nerd_girl2,nerd_guy1,filler_girl4,filler_guy1,hippie_girl2,hippie_guy2,0.3398833333333333,
609,condition1,filler,nerd,hippie,1,1,1,filler_girl3,filler_guy4,nerd_girl2,nerd_guy2,hippie_girl1,hippie_guy1,0.20091666666666663,
880,condition1,hippie,nerd,filler,6,5,6,hippie_girl1,hippie_guy1,nerd_girl2,nerd_guy1,filler_girl1,filler_guy4,0.40265,
651,condition1,filler,nerd,hippie,1,1,1,filler_girl3,filler_guy1,nerd_girl1,nerd_guy1,hippie_girl1,hippie_guy1,0.41491666666666666,
692,condition1,filler,hippie,nerd,7,1,1,filler_girl3,filler_guy3,hippie_girl1,hippie_guy2,nerd_girl1,nerd_guy1,0.48455,
897,condition1,hippie,filler,nerd,2,5,1,hippie_girl1,hippie_guy1,filler_girl3,filler_guy4,nerd_girl1,nerd_guy2,0.30493333333333333,
811,condition1,filler,nerd,hippie,2,1,1,filler_girl1,filler_guy2,nerd_girl1,nerd_guy2,hippie_girl2,hippie_guy2,0.40825,
778,condition1,filler,nerd,hippie,5,3,4,filler_girl2,filler_guy3,nerd_girl2,nerd_guy2,hippie_girl1,hippie_guy1,0.22108333333333333,
757,condition1,nerd,filler,hippie,2,6,1,nerd_girl2,nerd_guy1,filler_girl1,filler_guy4,hippie_girl1,hippie_guy2,0.31885,
861,condition1,hippie,filler,nerd,1,7,5,hippie_girl2,hippie_guy2,filler_girl3,filler_guy1,nerd_girl2,nerd_guy1,0.4229,
666,condition1,nerd,hippie,filler,2,3,5,nerd_girl2,nerd_guy1,hippie_girl2,hippie_guy1,filler_girl1,filler_guy4,0.29738333333333333,
694,condition1,hippie,nerd,filler,1,4,5,hippie_girl2,hippie_guy2,nerd_girl2,nerd_guy1,filler_girl4,filler_guy3,0.31806666666666666,
632,condition1,filler,hippie,nerd,4,4,3,filler_girl4,filler_guy3,hippie_girl2,hippie_guy1,nerd_girl2,nerd_guy1,0.28496666666666665,
864,condition1,filler,hippie,nerd,2,2,2,filler_girl1,filler_guy3,hippie_girl2,hippie_guy1,nerd_girl1,nerd_guy1,1.00335,
905,condition1,filler,hippie,nerd,5,3,3,filler_girl2,filler_guy4,hippie_girl2,hippie_guy1,nerd_girl1,nerd_guy2,0.37585,
751,condition1,hippie,filler,nerd,1,2,1,hippie_girl2,hippie_guy2,filler_girl2,filler_guy4,nerd_girl2,nerd_guy2,0.32566666666666666,
653,condition1,nerd,filler,hippie,7,7,6,nerd_girl1,nerd_guy1,filler_girl4,filler_guy4,hippie_girl1,hippie_guy1,0.5978166666666667,
644,condition1,hippie,filler,nerd,1,6,2,hippie_girl2,hippie_guy1,filler_girl2,filler_guy1,nerd_girl2,nerd_guy2,0.5597666666666666,
946,condition1,hippie,filler,nerd,2,4,2,hippie_girl1,hippie_guy1,filler_girl1,filler_guy4,nerd_girl2,nerd_guy1,0.2977,
721,condition1,nerd,filler,hippie,4,4,4,nerd_girl2,nerd_guy1,filler_girl3,filler_guy3,hippie_girl1,hippie_guy1,0.22941666666666663,
884,condition1,filler,nerd,hippie,5,4,3,filler_girl2,filler_guy2,nerd_girl1,nerd_guy2,hippie_girl1,hippie_guy1,0.3750833333333333,
616,condition1,filler,nerd,hippie,5,5,2,filler_girl1,filler_guy3,nerd_girl2,nerd_guy1,hippie_girl2,hippie_guy1,0.34171666666666667,
709,condition1,nerd,filler,hippie,3,5,3,nerd_girl2,nerd_guy2,filler_girl1,filler_guy3,hippie_girl1,hippie_guy2,0.5304666666666666,
911,condition1,filler,hippie,nerd,5,2,4,filler_girl2,filler_guy3,hippie_girl2,hippie_guy2,nerd_girl2,nerd_guy1,0.44693333333333335,
647,condition1,nerd,hippie,filler,3,5,6,nerd_girl2,nerd_guy2,hippie_girl2,hippie_guy1,filler_girl1,filler_guy2,0.4898666666666667,
663,condition1,filler,hippie,nerd,6,6,6,filler_girl2,filler_guy3,hippie_girl2,hippie_guy1,nerd_girl2,nerd_guy2,0.7496666666666667,
785,condition1,filler,hippie,nerd,2,1,1,filler_girl3,filler_guy2,hippie_girl2,hippie_guy2,nerd_girl2,nerd_guy2,0.20736666666666667,
853,condition1,filler,nerd,hippie,4,4,4,filler_girl1,filler_guy4,nerd_girl1,nerd_guy1,hippie_girl1,hippie_guy1,0.34113333333333334,
633,condition1,hippie,filler,nerd,4,4,4,hippie_girl1,hippie_guy1,filler_girl3,filler_guy4,nerd_girl1,nerd_guy2,0.5085,
749,condition1,nerd,filler,hippie,4,5,2,nerd_girl1,nerd_guy1,filler_girl2,filler_guy4,hippie_girl2,hippie_guy2,0.4744,
726,condition1,filler,nerd,hippie,4,2,1,filler_girl1,filler_guy3,nerd_girl1,nerd_guy2,hippie_girl1,hippie_guy1,0.3560333333333333,
950,condition1,hippie,nerd,filler,2,1,4,hippie_girl1,hippie_guy2,nerd_girl1,nerd_guy1,filler_girl1,filler_guy3,0.2722333333333333,
