workerid,proliferate.condition,age,asses,comments,education,enjoyment,fairprice,gender,language,error
738,condition1,36,Yes,,2,1,1,Male,english,
708,condition1,66,Yes,,3,1,1,Male,English,
587,condition1,29,Yes,,5,1,1,Female,English,
814,condition1,42,Yes,none,4,1,1,Male,english,
700,condition1,46,Yes,,2,1,1,Male,English,
678,condition1,21,Yes,,4,1,1,Male,english,
711,condition1,28,Yes,,4,1,1,Male,English,
965,condition1,46,Yes,,2,1,1,Female,English,
586,condition1,50,Yes,,4,2,1,Male,English,
948,condition1,25,Yes,,5,2,1,Female,English,
679,condition1,57,Yes,Time is an interesting concept.,3,1,1,Female,English ,
812,condition1,58,Yes,,3,2,1,Male,English,
673,condition1,59,Yes,,4,1,1,Male,English,
924,condition1,70,Yes,,5,1,1,Male,English,
974,condition1,70,Yes,Thanks for the study ,2,1,1,Male,English ,
890,condition1,70,Yes,I have nothing to add at this time.,4,2,1,Male,English,
796,condition1,38,Yes,,3,1,1,Female,english,
735,condition1,63,Yes,No comment,2,1,1,Female,English,
658,condition1,63,Yes,,5,1,1,Female,English,
971,condition1,28,Yes,,5,1,1,Female,English,
643,condition1,21,Yes,,3,1,0,Female,English,
923,condition1,24,Yes,,4,1,1,Female,English,
654,condition1,22,Yes,,1,1,1,Male,English,
710,condition1,40,Yes,,3,2,1,Female,English,
775,condition1,23,Yes,Survey was easy to follow and complete.,2,1,1,Female,"English, Spanish",
740,condition1,29,Yes,,5,1,1,Female,English ,
856,condition1,35,Yes,,2,2,1,Female,english,
908,condition1,44,Yes,,4,2,1,Female,English,
683,condition1,27,Yes,,2,1,1,Female,english and bangla,
941,condition1,56,Yes,It was fun and I have noticed how people exaggerate time depending on the situation they are in...so this made sense to me.,4,2,1,Male,English,
609,condition1,25,Yes,,4,2,1,Female,"English, Chinese",
880,condition1,34,Yes,nice,5,1,1,Male,english,
651,condition1,65,Yes,The questions did not make sense. ,4,0,1,Female,English ,
692,condition1,63,Yes,very interesting,5,2,1,Female,Russian,
897,condition1,45,Yes,none,2,1,1,Female,English,
811,condition1,28,Yes,I enjoyed taking part in the survey. The creative design choice of the characters was a nice personalized touch for the survey. ,4,1,1,Female,English,
778,condition1,25,Yes,,4,-1,-1,Female,,
757,condition1,22,Yes,,4,1,1,Female,english,
861,condition1,23,Yes,,3,1,1,Female,English,
666,condition1,53,Yes,,4,1,1,Female,English,
694,condition1,52,Yes,,4,2,1,Female,English,
632,condition1,41,Yes,,4,2,1,Female,English,
864,condition1,42,No,I was just wondering how i am expected to guess the times.,5,1,1,Female,english,
905,condition1,53,Yes,,3,1,1,Female,English,
751,condition1,21,Yes,,4,1,1,Male,English,
653,condition1,61,Yes,Very enjoyable experiment.,-1,2,1,Male,english,
644,condition1,70,Yes,"Ridiculous questions, I could see no logic to, nor how one could actually answer them",3,0,1,Female,English,
946,condition1,40,Yes,,4,1,1,Male,English,
721,condition1,34,Yes,Hello! I think you're trying to get at Gricean maxims (maybe)? Some scenarios are a bit unclear as to the urgency. I really think AM and PM markers would clarify things.,5,1,1,Female,"English, Mandarin",
884,condition1,39,Yes,No issues with the study,3,2,1,Male,English,
616,condition1,59,Yes,,5,2,1,Female,English,
709,condition1,,Yes,Pretty straightforward and clear.,-1,2,1,,English,
911,condition1,43,Yes,,5,1,1,Female,english,
647,condition1,49,Yes,,3,2,1,Female,English,
663,condition1,25,Yes,"Simple to understand experiment, no technical issues. ",2,2,1,Female,English,
785,condition1,35,No,"I didn't completely understand the experiment, but I did my best!",2,1,1,Male,English,
853,condition1,52,Yes,,3,1,1,Male,English,
633,condition1,36,Yes,,4,1,1,Female,English,
749,condition1,39,,Interested in thoughts for survey. Didn't think about appearance of characters,4,1,1,Male,English ,
726,condition1,26,Yes,,4,1,1,Male,"english, cantonese, mandarin",
950,condition1,21,Yes,,2,1,1,Male,English,
984,condition1,40,Yes,,4,1,0,Female,english,
920,condition1,61,No,,4,1,1,Male,English,
857,condition1,28,Yes,,4,1,1,Female,English,
993,condition1,25,Yes,,4,1,1,Other,English,
774,condition1,53,Yes,,4,2,1,Male,English,
595,condition1,32,Yes,Na,2,2,1,Female,English ,
883,condition1,26,Yes,"The experiment was very enjoyable and made me think in depth about the concept of time and time perception. Overall, I had an enjoyable experience with the survey and would take a similar one again.",2,2,1,Male,English,
933,condition1,25,Yes,,4,1,1,Other,English,
703,condition1,54,Yes,,3,2,1,Female,english,
665,condition1,48,No,,3,2,1,Male,English,
889,condition1,70,Yes,,3,2,0,Male,English,
942,condition1,58,Yes,"Thanks, hoping I did understand it. I think so.",2,1,1,Female,English,
723,condition1,19,No,,3,1,1,Male,English,
917,condition1,65,Yes,Those characters were interesting. Thank you for including me. Best wishes for success with your experiment today!,4,1,1,Female,English,
930,condition1,40,Yes,N/A,5,2,1,Male,English,
776,condition1,27,Yes,,4,0,0,Male,English,
594,condition1,35,Yes,,2,1,1,Male,english,
739,condition1,46,Yes,"These days, people are very accurate with their time due to cell phones.  I would expect that this was different.",5,1,1,Female,English,
630,condition1,50,Yes,,3,1,1,Female,ENGLISH,
998,condition1,33,Yes,,4,2,1,Male,English,
762,condition1,31,No,,5,1,1,Female,English,
758,condition1,52,Yes,,5,1,1,Female,English,
886,condition1,30,Yes,,3,2,1,Male,English,
816,condition1,48,Yes,,3,1,1,Female,Englush,
677,condition1,60,Yes,,4,1,1,Male,English,
813,condition1,56,Yes,,4,1,0,Male,english,
592,condition1,20,Yes,,2,1,0,Male,,
688,condition1,32,Yes,,4,1,1,Female,English,
966,condition1,47,Yes,it was a bit boring but im sure you now know that im obviously late for everything and always fudge my times within a reasonable amount. i try to be an honest person but ill lie to myself and others about what time it is to make myself feel better and more efficient,3,1,1,Female,english,
730,condition1,34,Yes,,4,2,1,Female,English,
855,condition1,23,Yes,,4,1,1,Female,english,
819,condition1,45,Yes,,3,1,1,Male,english,
901,condition1,31,Yes,,4,1,1,Female,English,
914,condition1,55,Yes,"It was a weird experiment , seemed to easy and I wasnt sure If I was right or not. least means to me the lowest and most means the highest. It just seemed odd because I am not sure if I did the study correctly. Have a nice day;",2,1,1,Female,english,
1001,condition1,53,Yes,,4,1,1,Female,English,
801,condition1,30,No,No feedback.,2,1,1,Male,english,
874,condition1,28,Yes,,3,2,1,Female,English,
646,condition1,58,Yes,,4,2,1,Male,English,
732,condition1,39,Yes,,4,1,1,Female,English ,
771,condition1,54,Yes,,4,2,1,Female,English,
769,condition1,26,Yes,,4,1,1,Female,English,
601,condition1,27,Yes,,4,1,1,Female,English,
742,condition1,29,Yes,"Enjoyable study, thank you!",5,2,1,Female,English,
729,condition1,35,Yes,,4,1,1,Male,English,
837,condition1,23,Yes,None applicable,2,1,1,Male,English,
995,condition1,59,Yes,I didn't get it.,4,1,1,Female,English,
877,condition1,54,Yes,,5,2,1,Female,English,
823,condition1,35,Yes,,4,1,1,Female,English,
860,condition1,38,Yes,No comments boss. ,4,1,1,Male,english,
631,condition1,33,Yes,,4,2,1,Female,english,
645,condition1,22,Yes,,2,1,1,Male,"English, Spanish",
940,condition1,55,Yes,,4,1,1,Female,English,
808,condition1,57,Yes,All is well,2,1,1,Male,English,
672,condition1,29,Yes,"I personally like the survey very much and I feel very satisfied to give an answer.
",4,2,1,Female,English ,
996,condition1,39,Yes,,3,2,1,Male,english,
887,condition1,40,Yes,n/a,2,1,1,Female,English,
