workerid,proliferate.condition,Browser,OS,screenH,screenW,error
738,condition1,Chrome,Windows,864,1536,
708,condition1,Chrome,Windows,768,1366,
587,condition1,Chrome,Linux,851,393,
814,condition1,Chrome,Windows,864,1536,
700,condition1,Chrome,Windows,1080,1920,
678,condition1,Safari,iPhone/iPod,926,428,
711,condition1,Chrome,Windows,1080,1920,
965,condition1,Firefox,Windows,864,1536,
586,condition1,Chrome,Windows,720,1280,
948,condition1,Chrome,Windows,912,1368,
679,condition1,Chrome,Linux,740,360,
812,condition1,Firefox,Windows,1080,1920,
673,condition1,Chrome,Windows,864,1536,
924,condition1,Chrome,Windows,864,1536,
974,condition1,Chrome,Linux,915,412,
890,condition1,Chrome,Mac,1080,1920,
796,condition1,Firefox,Windows,1080,1920,
735,condition1,Chrome,Windows,864,1536,
658,condition1,Chrome,Windows,912,1368,
971,condition1,Firefox,Windows,864,1536,
643,condition1,Chrome,Windows,1024,1536,
923,condition1,Chrome,Linux,851,393,
654,condition1,Chrome,Linux,640,360,
710,condition1,Chrome,Windows,1080,1920,
775,condition1,Chrome,Windows,768,1366,
740,condition1,Safari,iPhone/iPod,896,414,
856,condition1,Chrome,Windows,1050,1680,
908,condition1,Chrome,Windows,768,1366,
683,condition1,Chrome,Linux,768,1366,
941,condition1,Chrome,Windows,768,1366,
609,condition1,Chrome,Windows,900,1600,
880,condition1,Firefox,Windows,1080,1920,
651,condition1,Chrome,Linux,800,360,
692,condition1,Chrome,Mac,900,1440,
897,condition1,Chrome,Windows,1080,1920,
811,condition1,Chrome,Linux,640,360,
778,condition1,Safari,iPhone/iPod,896,414,
757,condition1,Chrome,Windows,768,1366,
861,condition1,Chrome,Linux,869,412,
666,condition1,Chrome,Windows,900,1600,
694,condition1,Firefox,Mac,900,1440,
632,condition1,Chrome,Linux,735,339,
864,condition1,Chrome,Windows,768,1366,
905,condition1,Chrome,Windows,1050,1680,
751,condition1,Chrome,Windows,864,1536,
653,condition1,Chrome,Windows,864,1536,
644,condition1,Chrome,Linux,854,385,
946,condition1,Firefox,Windows,768,1366,
721,condition1,Chrome,Linux,720,360,
884,condition1,Chrome,Linux,854,384,
616,condition1,Chrome,Windows,864,1536,
709,condition1,Firefox,Mac,1080,1920,
911,condition1,Chrome,Mac,900,1440,
647,condition1,Safari,Mac,900,1440,
663,condition1,Chrome,Windows,900,1600,
785,condition1,Chrome,Windows,768,1366,
853,condition1,Chrome,Windows,1728,3072,
633,condition1,Chrome,Windows,1080,1920,
749,condition1,Chrome,Linux,800,360,
726,condition1,Chrome,Windows,864,1536,
950,condition1,Firefox,Windows,864,1536,
984,condition1,Chrome,Linux,864,1536,
920,condition1,Safari,Mac,1112,834,
857,condition1,Chrome,Linux,891,424,
993,condition1,Chrome,Mac,900,1440,
774,condition1,Firefox,Windows,864,1536,
595,condition1,Safari,iPhone/iPod,896,414,
883,condition1,Chrome,Windows,768,1366,
933,condition1,Firefox,Windows,1080,1920,
703,condition1,Chrome,Windows,900,1600,
665,condition1,Chrome,Windows,864,1536,
889,condition1,Firefox,Windows,720,1280,
942,condition1,Chrome,Windows,1080,1920,
723,condition1,Chrome,Windows,1080,1920,
917,condition1,Chrome,Windows,1080,1920,
930,condition1,Chrome,Windows,720,1280,
776,condition1,Chrome,Windows,1080,1920,
594,condition1,Chrome,Windows,1080,1920,
739,condition1,Chrome,Windows,768,1366,
630,condition1,Chrome,Windows,768,1366,
998,condition1,Firefox,Windows,768,1366,
762,condition1,Chrome,Windows,768,1366,
758,condition1,Chrome,Windows,720,1280,
