workerid,proliferate.condition,time_in_minutes,error
738,condition1,4.63505,
708,condition1,3.9248833333333337,
587,condition1,4.613083333333333,
814,condition1,2.6061833333333335,
700,condition1,2.5839333333333334,
678,condition1,3.0295833333333335,
711,condition1,5.9154,
965,condition1,3.8077833333333335,
586,condition1,3.7937333333333334,
948,condition1,2.370233333333333,
679,condition1,6.8197,
812,condition1,5.4162,
673,condition1,2.536666666666666,
924,condition1,6.6855166666666666,
974,condition1,6.898183333333333,
890,condition1,4.59245,
796,condition1,2.710383333333333,
735,condition1,4.441783333333333,
658,condition1,3.69015,
971,condition1,2.3194,
643,condition1,2.6209166666666666,
923,condition1,3.4126833333333333,
654,condition1,5.506916666666666,
710,condition1,3.20765,
775,condition1,3.1223833333333335,
740,condition1,1.4755666666666667,
856,condition1,3.5502833333333332,
908,condition1,5.393166666666667,
683,condition1,4.1312,
941,condition1,4.169716666666667,
609,condition1,2.9442333333333335,
880,condition1,4.357566666666667,
651,condition1,6.156516666666667,
692,condition1,6.204716666666667,
897,condition1,3.5502666666666665,
811,condition1,8.62785,
778,condition1,2.5282666666666667,
757,condition1,3.5288666666666666,
861,condition1,8.60145,
666,condition1,2.8194333333333335,
694,condition1,2.96885,
632,condition1,2.9304333333333332,
864,condition1,16.806233333333335,
905,condition1,12.203383333333331,
751,condition1,14.730616666666666,
653,condition1,5.409216666666667,
644,condition1,5.0739833333333335,
946,condition1,2.791333333333333,
721,condition1,5.595866666666667,
884,condition1,4.00165,
616,condition1,3.5669833333333334,
709,condition1,6.061516666666667,
911,condition1,4.472033333333333,
647,condition1,6.447266666666667,
663,condition1,11.203333333333331,
785,condition1,3.60905,
853,condition1,5.215366666666666,
633,condition1,5.5258,
749,condition1,5.96105,
726,condition1,4.5065333333333335,
950,condition1,3.0311,
984,condition1,8.239333333333333,
920,condition1,4.12145,
857,condition1,4.2825,
993,condition1,3.0278,
774,condition1,2.0209166666666665,
595,condition1,7.558016666666667,
883,condition1,4.809916666666667,
933,condition1,5.47135,
703,condition1,4.75165,
665,condition1,2.681416666666667,
889,condition1,6.6212,
942,condition1,7.1352,
723,condition1,2.24925,
917,condition1,7.261766666666667,
930,condition1,3.2645833333333334,
776,condition1,20.682566666666663,
594,condition1,3.3164333333333333,
739,condition1,4.773583333333334,
630,condition1,6.436633333333333,
998,condition1,8.13835,
762,condition1,3.09545,
758,condition1,4.584833333333333,
886,condition1,2.7131333333333334,
816,condition1,2.8171333333333335,
677,condition1,3.7041,
813,condition1,5.7794,
592,condition1,3.4648,
688,condition1,4.145083333333333,
966,condition1,14.759966666666667,
730,condition1,3.699133333333333,
855,condition1,3.7585,
819,condition1,4.238733333333333,
901,condition1,3.4786166666666665,
914,condition1,6.3585,
1001,condition1,7.03385,
801,condition1,4.347216666666666,
874,condition1,8.205066666666667,
646,condition1,5.6376333333333335,
732,condition1,3.54355,
771,condition1,5.529916666666667,
769,condition1,2.6720166666666665,
601,condition1,4.174666666666667,
742,condition1,3.37135,
729,condition1,2.791516666666667,
837,condition1,5.9422,
995,condition1,4.211633333333333,
877,condition1,3.62485,
823,condition1,3.466683333333333,
860,condition1,7.98575,
631,condition1,2.92715,
645,condition1,2.589166666666667,
940,condition1,2.892733333333333,
808,condition1,4.435566666666666,
672,condition1,5.285866666666666,
996,condition1,2.866316666666666,
887,condition1,2.582133333333333,
797,condition1,4.479166666666667,
891,condition1,5.2905,
799,condition1,3.022883333333333,
638,condition1,6.115633333333333,
701,condition1,4.844283333333333,
657,condition1,3.2164333333333333,
714,condition1,5.257583333333334,
969,condition1,3.38035,
862,condition1,6.57915,
902,condition1,2.7287666666666666,
760,condition1,5.059966666666667,
715,condition1,7.626233333333333,
866,condition1,4.2485333333333335,
978,condition1,4.137383333333333,
953,condition1,2.566766666666666,
674,condition1,7.14735,
766,condition1,3.1327666666666665,
689,condition1,3.189133333333334,
929,condition1,8.04445,
896,condition1,2.8102833333333335,
922,condition1,7.051233333333333,
660,condition1,2.772283333333333,
865,condition1,4.492766666666666,
903,condition1,3.1106166666666666,
754,condition1,18.75735,
620,condition1,4.349933333333333,
768,condition1,8.316933333333333,
899,condition1,5.53605,
615,condition1,7.4488,
848,condition1,5.505516666666667,
642,condition1,3.094433333333334,
960,condition1,5.084783333333333,
961,condition1,8.517983333333333,
841,condition1,5.463383333333334,
681,condition1,5.999766666666667,
868,condition1,4.3695,
707,condition1,10.097316666666666,
690,condition1,3.3692,
682,condition1,3.5814166666666667,
999,condition1,15.37015,
820,condition1,4.250016666666666,
591,condition1,7.768033333333333,
858,condition1,8.54,
664,condition1,3.3421,
624,condition1,4.919783333333333,
680,condition1,9.786666666666669,
876,condition1,4.066283333333334,
871,condition1,9.865383333333334,
872,condition1,4.622616666666667,
604,condition1,7.234366666666666,
832,condition1,3.8947333333333334,
959,condition1,7.2284,
782,condition1,5.871783333333333,
593,condition1,2.515316666666666,
970,condition1,5.120466666666666,
789,condition1,3.9760333333333335,
763,condition1,4.1917,
906,condition1,3.3025166666666665,
863,condition1,13.1066,
893,condition1,5.533733333333333,
770,condition1,8.280216666666666,
748,condition1,3.6063666666666663,
834,condition1,9.488566666666667,
963,condition1,4.450266666666667,
745,condition1,5.4452,
602,condition1,4.0856,
852,condition1,3.3853833333333334,
989,condition1,9.787116666666666,
612,condition1,6.684433333333334,
737,condition1,2.13795,
936,condition1,17.476216666666666,
662,condition1,4.165116666666667,
980,condition1,2.231,
779,condition1,4.5202333333333335,
979,condition1,6.4777,
626,condition1,3.588016666666667,
589,condition1,17.67325,
693,condition1,2.877283333333333,
840,condition1,3.6461833333333336,
668,condition1,3.3486,
761,condition1,5.780233333333333,
944,condition1,7.036716666666667,
954,condition1,9.269733333333331,
734,condition1,3.9619,
731,condition1,10.50925,
912,condition1,4.029966666666667,
613,condition1,7.822133333333333,
854,condition1,6.365183333333333,
949,condition1,7.8803,
895,condition1,7.470483333333333,
747,condition1,9.76335,
983,condition1,11.118333333333334,
958,condition1,4.788383333333333,
988,condition1,5.4279,
818,condition1,4.121883333333333,
795,condition1,3.3780666666666668,
617,condition1,8.623266666666666,
596,condition1,4.169433333333333,
850,condition1,6.8715,
696,condition1,4.2324,
900,condition1,6.06565,
750,condition1,8.483833333333333,
955,condition1,2.9182,
621,condition1,2.5516,
652,condition1,6.168183333333333,
767,condition1,6.1124,
839,condition1,10.330016666666667,
806,condition1,2.4792,
783,condition1,3.6974,
990,condition1,8.271516666666667,
992,condition1,4.14055,
847,condition1,4.001016666666667,
997,condition1,4.22555,
888,condition1,22.2162,
727,condition1,6.9214,
717,condition1,7.494416666666667,
830,condition1,5.0139,
628,condition1,2.904316666666667,
907,condition1,8.01835,
859,condition1,1.3913833333333334,
671,condition1,5.26215,
962,condition1,5.01605,
705,condition1,3.2177,
828,condition1,2.5978,
926,condition1,16.143283333333333,
1003,condition1,4.343466666666667,
885,condition1,5.869,
882,condition1,6.5152833333333335,
817,condition1,5.226133333333333,
875,condition1,3.66845,
985,condition1,4.483816666666667,
753,condition1,3.349583333333334,
790,condition1,3.4049833333333335,
836,condition1,20.9797,
947,condition1,3.840966666666666,
704,condition1,3.1139,
994,condition1,4.945583333333333,
684,condition1,4.396883333333333,
792,condition1,7.950233333333333,
927,condition1,3.0061166666666668,
869,condition1,4.207916666666667,
667,condition1,5.068933333333334,
793,condition1,3.3722833333333333,
870,condition1,7.8093,
712,condition1,3.5435333333333334,
