workerid,proliferate.condition,answerer gender,character_type,crit_trial_number,fill_trial_number,image1,image2,item,maximum,minimum,minute,name1,name2,questioner gender,stakes,time,trial_number,trial_time_minutes,trial_type,error
738,condition1,female,fill,NA,1,filler_guy1,filler_girl3,store_fill,-4,-20,15,Alex,Quinn,male,high,none,1,0.8751666666666666,fill,
738,condition1,male,hippie,1,NA,hippie_guy2,hippie_guy1,airport_crit,3,-3,none,Devin,Jamie,male,low,3:00,2,0.7001166666666667,crit,
738,condition1,female,hippie,2,NA,hippie_girl1,hippie_girl2,bank_crit,3,-3,none,Jessie,Jordan,female,high,9:30,3,0.35906666666666665,crit,
738,condition1,male,fill,NA,2,filler_guy3,filler_guy4,coffee_fill,10,-10,20,Dakota,Morgan,male,high,none,4,0.5033333333333333,fill,
738,condition1,male,fill,NA,3,filler_girl4,filler_guy2,restaurant_fill,11,-10,10,Skyler,Shawn,female,low,none,5,0.27958333333333335,fill,
738,condition1,female,nerd,3,NA,nerd_guy2,nerd_girl2,premiere_crit,3,-2,none,Sam,Taylor,male,low,8:00,6,0.34495,crit,
738,condition1,female,fill,NA,4,filler_girl2,filler_girl1,phone_fill,6,-5,5,Ash,Casey,female,low,none,7,0.20316666666666663,fill,
738,condition1,female,nerd,4,NA,nerd_guy1,nerd_girl1,shopping_crit,3,-3,none,Kendall,Riley,male,high,1:30,8,0.26693333333333336,crit,
708,condition1,female,hippie,1,NA,hippie_guy2,hippie_girl1,shopping_crit,5,-5,none,Jamie,Morgan,male,high,8:00,1,0.58195,crit,
708,condition1,male,fill,NA,1,filler_girl2,filler_guy3,coffee_fill,5,-10,15,Alex,Taylor,female,high,none,2,0.36161666666666664,fill,
708,condition1,female,nerd,2,NA,nerd_girl1,nerd_girl2,airport_crit,-5,5,none,Riley,Quinn,female,low,3:00,3,0.26431666666666664,crit,
708,condition1,male,fill,NA,2,filler_girl1,filler_guy2,store_fill,-5,0,5,Jordan,Kendall,female,high,none,4,0.35013333333333335,fill,
708,condition1,male,fill,NA,3,filler_girl3,filler_guy1,phone_fill,-5,-10,10,Casey,Devin,female,low,none,5,0.1824,fill,
708,condition1,male,hippie,3,NA,hippie_girl2,hippie_guy1,bank_crit,3,-2,none,Dakota,Jessie,female,high,9:30,6,0.2965,crit,
708,condition1,female,fill,NA,4,filler_guy4,filler_girl4,restaurant_fill,5,-10,20,Ash,Sam,male,low,none,7,0.26066666666666666,fill,
708,condition1,male,nerd,4,NA,nerd_guy1,nerd_guy2,premiere_crit,1,0,none,Shawn,Skyler,male,low,1:30,8,0.2981,crit,
587,condition1,female,hippie,1,NA,hippie_guy1,hippie_girl2,airport_crit,5,-20,none,Taylor,Devin,male,low,8:00,1,0.58315,crit,
587,condition1,male,fill,NA,1,filler_guy1,filler_guy4,restaurant_fill,10,-6,10,Jordan,Alex,male,low,none,2,0.33871666666666667,fill,
587,condition1,female,fill,NA,2,filler_guy2,filler_girl3,phone_fill,5,-18,15,Skyler,Kendall,male,low,none,3,0.3186833333333333,fill,
587,condition1,female,hippie,2,NA,hippie_guy2,hippie_girl1,bank_crit,5,-10,none,Riley,Jessie,male,high,9:30,4,0.4207166666666667,crit,
587,condition1,male,fill,NA,3,filler_girl4,filler_guy3,store_fill,20,-11,20,Ash,Dakota,female,high,none,5,0.4440166666666666,fill,
587,condition1,female,nerd,3,NA,nerd_girl2,nerd_girl1,premiere_crit,9,-10,none,Quinn,Morgan,female,low,3:00,6,0.26206666666666667,crit,
587,condition1,male,nerd,4,NA,nerd_guy2,nerd_guy1,shopping_crit,3,-4,none,Jamie,Shawn,male,high,1:30,7,0.41063333333333335,crit,
587,condition1,female,fill,NA,4,filler_girl2,filler_girl1,coffee_fill,6,-6,5,Casey,Sam,female,high,none,8,0.23775,fill,
814,condition1,female,fill,NA,1,filler_guy3,filler_girl2,restaurant_fill,0,0,10,Alex,Taylor,male,low,none,1,0.25625,fill,
814,condition1,female,fill,NA,2,filler_guy2,filler_girl4,phone_fill,0,0,15,Jamie,Skyler,male,low,none,2,0.30293333333333333,fill,
814,condition1,male,nerd,1,NA,nerd_girl2,nerd_guy1,shopping_crit,0,0,none,Morgan,Ash,female,high,3:00,3,0.2657333333333333,crit,
814,condition1,female,nerd,2,NA,nerd_guy2,nerd_girl1,premiere_crit,0,0,none,Dakota,Jessie,male,low,8:00,4,0.11206666666666666,crit,
814,condition1,male,fill,NA,3,filler_guy1,filler_guy4,store_fill,0,0,5,Jordan,Casey,male,high,none,5,0.16206666666666666,fill,
